relative_path,asset_class,include_status,size_bytes,sha256
.gitignore,other,supporting_documentation,99,83852bccd861565e99ea97ca767034ac7f27838b6d7fc2a8fd06f4932f9afa09
LICENSE.md,license,supporting_documentation,1756,3abdd833672b96efac2c01661219794fa228f0b6f4328e01c0f966a86d1d431e
README.md,documentation,supporting_documentation,4296,f1a8f6e5c416bde783a09a607a86815b0d0d98db044611473a8b80eb45906d72
code/model_workbooks/corrected_xlsx/three_player_corrigendum_reconstruction.xlsx,code_candidate,include_corrected_reconstruction,174180,b8eb705d1a4b82b08a246bac0306107c35e93823cd317887ee78056ac31f0dcb
code/model_workbooks/modernized_xlsx/game2player_pricing_model_v2_original.xlsx,code_candidate,include_historical_source,11536,dabc3a12f89c786a87da1d3b590f98f08f8e3948bcad6953bba491c557ac292d
code/model_workbooks/modernized_xlsx/game3player_pricing_model_original.xlsx,code_candidate,include_historical_source_not_corrected,199282,e98c89104345e9c8c7fb3538fb761381bd1829092f7bea58f07b99636b66f338
code/model_workbooks/modernized_xlsx/marginal_delay_supporting_original.xlsx,code_candidate,include_historical_source,19545,0024bc5f0e93a53782646da9b418ec4d86cb742d725f5dd26e6ce062ec9c6570
code/model_workbooks/modernized_xlsx/microfoundations_queue_model_original.xlsx,code_candidate,include_historical_source,849511,ed513b71f1e63264b983af2b95ed9c56f00d423f182abd660f1fd0f61e0adced
code/model_workbooks/original/game2player_pricing_model_v2_original.xls,code_candidate,include_historical_source,27648,f7f9d1855e9d1867750a661f651173e2eae7e36bb5d2e89fa8085e9675bf57e0
code/model_workbooks/original/game3player_pricing_model_original.xls,code_candidate,include_historical_source_not_corrected,732160,a456cfe41f268e8e905e8636b5ebcf9181252fba00cad577530db53eed1f303c
code/model_workbooks/original/marginal_delay_supporting_original.xls,code_candidate,include_historical_source,39936,5379bad000067d88c40e9aab38a72df4a62da1b50985be173d50fc85bf8f0566
code/model_workbooks/original/microfoundations_queue_model_original.xls,code_candidate,include_historical_source,3402752,6b03280ab8d91a28f7f1c4903d10e1325f70a993bedee103b70d6b98611050ed
code/reproduce_corrigendum.py,code_candidate,include_corrected_reconstruction,15776,a23b9575277745e256e755a22e0bee50c7f56854a6057f30591631967c78294e
documentation/CORRIGENDUM_REPRODUCTION.md,documentation,supporting_documentation,3934,92a656955a61451df9f7984c8b993aadce06a914f733aca5539020a14f53166e
metadata/CORRIGENDUM_BENCHMARKS.csv,benchmark_data,include_corrected_benchmark,903,a471ba6ab3c17c591545eb99766a880259339c2628efd418b6f2be8674e635b9
metadata/EXCLUDED_LOCAL_FILES.csv,documentation,supporting_documentation,1576,510dbc17efbcb99d79d1b143588df4dddc1363a828ca4ca0f16ba1cd24323627
metadata/WORKBOOK_MANIFEST.csv,documentation,supporting_documentation,2413,f1115830943979b9d9e05fea7d57c163086db2a65bbaf4360988978bc4610d18
paper/Microfoundations.pdf,paper_reference,reference_only_do_not_public_upload_without_rights,149184,29467ea752dcad7881c55a8d4216acb944f2ae9e27b1a10d4ea291685115c84e
paper/README.md,paper_reference,reference_only_do_not_public_upload_without_rights,790,8d0ab6f55a8668dade978a6907f036125174ba5c4aa500cf1b614c3def4a117b
